"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Learn Frames","","0","0","1","0","0"
"","End to End Test","","0","0","0","0","1"
"","My login","","0","1","4","0","0"
"","Handling Alerts","","0","0","1","0","0"
"","Handling Tables","","0","0","0","0","1"
"","Sscreenshot Test","","0","0","1","0","0"
"","Dynamic Dropdown","","0","0","0","0","1"
"","Boolean Functions","","0","0","1","0","0"
"","List of WebElements","","0","1","0","0","0"
"","Handling ChildWindows","","0","0","1","0","0"
"","Scrolling Test","","0","0","0","0","1"
